"track_genre","popularity","duration_ms","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"j-pop",41.143,236458.981,0.551678,0.6796042,5.328,-6.279941,0.059367,0.28208791462,0.0115788108,0.1985291,0.5415591,124.613115,3.929
"j-rock",40.664,244979.857,0.509069,0.760684,5.405,-5.693655,0.0644018,0.16859578103,0.0234557353,0.2236261,0.5377492,128.522442,3.946
"jazz",13.628,190342.2,0.509975,0.35295443,4.664,-11.578765,0.055013,0.715815707,0.07956107897,0.1700251,0.490289,112.636469,3.832
"k-pop",56.896,251277.169,0.647732,0.675654,5.328,-6.470775,0.0880245,0.292968194,0.00982844532,0.1762963,0.5569152,119.243969,3.916
"kids",14.888,156693.051,0.778906,0.6131286,5.084,-8.119189,0.1528456,0.2386349012,0.0197203884,0.1720335,0.6808638,121.750705,3.949
"latin",8.297,213894.428,0.721902,0.72708,5.532,-5.263596,0.0931231,0.183373435,0.00917700209,0.1742917,0.631149,119.812273,3.961
"latino",25.656,209960.955,0.757057,0.7317965,5.588,-5.176923,0.1144216,0.17220078,0.00806694413,0.1731817,0.6302008,119.385197,3.985
"malay",30.358,254768.942,0.628617,0.5783966,5.152,-8.373605,0.0809715,0.404123097,0.00885122145,0.1731763,0.5015049,119.314765,3.772
"mandopop",45.025,251550.05,0.546532,0.4984339,5.214,-8.176785,0.0394875,0.4802883056,0.00370949509,0.1593046,0.3501643,123.475906,3.945
"metal",43.705,256462.96,0.464288,0.840273,5.503,-5.425439,0.0702606,0.03708486334,0.06460309569,0.2051581,0.4179356,127.907465,3.932
"metalcore",43.477,229006.573,0.4238,0.914485,5.039,-4.457694,0.1102598,0.01028573078,0.04569475021,0.2581804,0.3149018,130.580195,3.922
"minimal-techno",34.022,368863.246,0.729395,0.680272,5.47,-9.77171,0.0625747,0.07093270167,0.74453848094,0.1354632,0.2836202,124.74797,3.955
"mpb",40.792,229216.361,0.574088,0.5797871706,5.618,-9.110408,0.0565688,0.420858189,0.01545890876,0.3394639,0.5564338,120.161055,3.919
"new-age",29.065,299070.683,0.3484546,0.21450062,4.675,-18.520463,0.0456587,0.824022422,0.71302090279,0.2004907,0.1831672,107.958746,3.721
"opera",24.621,233337.823,0.3135631,0.317054,5.11,-13.575679,0.0464342,0.79493148246,0.16291521127,0.2198334,0.2152252,105.584558,3.674
"pagode",44.298,228321.435,0.577723,0.712123,5.186,-7.268763,0.0627869,0.53837212,0.0005658295,0.5198638,0.687978,126.859308,3.997
"party",20.982,201067.563,0.667191,0.871237,5.341,-4.411871,0.0873481,0.0927352256,0.00168788099,0.28773885,0.6812349,131.300322,3.964
"piano",45.273,203966.541,0.4550983,0.320102564,5.08,-17.013978,0.0468513,0.704978913,0.51640990172,0.1448621,0.3132662,118.084674,3.759
"pop",47.576,220672.776,0.630441,0.606437,5.412,-6.953969,0.0799752,0.34369251,0.00902630391,0.1582558,0.5062227,120.927073,3.858
"pop-film",59.283,279657.084,0.597146,0.6045619,5.296,-7.871622,0.064057,0.440695616,0.00812373181,0.166397,0.5292533,117.257478,3.899
"power-pop",26.898,185575.951,0.47341,0.801688,5.202,-6.675975,0.0579358,0.08551097744,0.06388665367,0.2232462,0.614569,134.651615,3.966
"progressive-house",46.615,206842.186,0.623935,0.813359,5.5,-5.421422,0.0676695,0.06138703639,0.20048227569,0.2093309,0.3653001,125.093636,3.981
"psych-rock",42.778,226877.122,0.502554,0.5615028,5.39,-9.984745,0.0473149,0.31522801724,0.09181969097,0.2026305,0.564732,121.572999,3.898
"punk",38.291,216046.031,0.499778,0.809673,5.137,-5.727469,0.064181,0.08912129745,0.03888575537,0.2159331,0.5555907,133.600518,3.947
"punk-rock",38.236,216491.102,0.507329,0.80998,5.051,-5.916501,0.0635081,0.08259563892,0.03218837973,0.2366689,0.5669669,132.219025,3.958
"r-n-b",36.687,218600.096,0.614388,0.6381296706,5.743,-7.539444,0.0892185,0.3705621442,0.00995565703,0.2621831,0.6331639,124.038939,3.879
"reggae",20.63,214684.051,0.745331,0.725791,5.643,-5.292395,0.1154054,0.175950025,0.00280537597,0.1883296,0.647529,119.867602,3.997
"reggaeton",23.858,213185.496,0.758521,0.738728,5.561,-4.987124,0.1209521,0.16476341,0.0027859232,0.1703853,0.6427535,118.872403,3.993
"rock",19.001,219674.515,0.543609,0.6790711,5.431,-6.664481,0.0499229,0.2092416611,0.02097829694,0.1725127,0.5389026,126.321238,3.917
"rock-n-roll",34.434,173693.36,0.550302,0.5266152,5.2,-9.381603,0.0513818,0.553345177,0.01422118779,0.227312,0.67049,120.390017,3.857
"rockabilly",31.5,172438.656,0.561202,0.6593719,5.546,-8.202449,0.0595629,0.44698917326,0.0252293276,0.2289194,0.726951,123.660635,3.907
"romance",3.245,200340.67,0.4321332,0.2943038,5.221,-13.205726,0.0648153,0.8694951,0.05377302979,0.2107734,0.3934147,109.693052,3.694
"sad",52.379,153800.88,0.692378,0.4624701,5.365,-10.275018,0.1304311,0.473710126,0.10574007977,0.1716106,0.4220495,119.06495,3.97
"salsa",28.066,276376.747,0.668288,0.724518,5.117,-6.922219,0.0561603,0.46924546,0.01254381249,0.1823286,0.814838,119.915089,3.988
"samba",38.826,226502.395,0.574897,0.6726435,5.219,-8.490192,0.0836434,0.48990308,0.00735576425,0.4431924,0.6934091,118.122361,3.969
"sertanejo",47.866,204583.551,0.591647,0.710391,5.337,-5.485445,0.0648653,0.43662082,0.00016029266,0.4742244,0.619325,127.052197,3.882
"show-tunes",31.246,206622.883,0.4637381,0.39874176,5.003,-10.682708,0.108183,0.6371923265,0.03786859097,0.2156084,0.3788129,114.372216,3.796
"singer-songwriter",37.813,217549.844,0.562022,0.4341884,5.21,-9.779511,0.0514857,0.552753542,0.02789156575,0.1501931,0.4142976,119.737322,3.835
"ska",35.126,221617.895,0.580676,0.793134,5.363,-6.352839,0.0721267,0.12157530015,0.03011484573,0.2714103,0.69672,128.338341,3.965
"sleep",35.071,184058.98,0.1679225,0.3420717167,4.93,-24.194084,0.056847,0.65725270108,0.72353913501,0.3577362,0.058187871,84.619491,3.132
"songwriter",37.813,217549.844,0.562022,0.4341884,5.21,-9.779511,0.0514857,0.552753542,0.02789156575,0.1501931,0.4142976,119.737322,3.835
"soul",19.795,199718.003,0.600112,0.5338726,4.722,-8.284506,0.0600308,0.4015648954,0.01363626904,0.1819059,0.5233104,114.629169,3.88
"spanish",37.922,231703.901,0.60431,0.707777,5.305,-6.486594,0.0873142,0.26875821868,0.01730288238,0.2236962,0.5484961,122.832437,3.945
"study",26.108,141568.534,0.68524,0.4106581,5.425,-10.85278,0.1000384,0.530638808,0.7897574537,0.1612922,0.4027009,111.763835,3.944
"swedish",37.175,209175.859,0.590413,0.6220025,5.532,-7.776523,0.0648112,0.32420006772,0.02216727505,0.1903963,0.5329407,121.094523,3.95
"synth-pop",36.576,244805.907,0.620663,0.7131349,4.952,-8.204641,0.0483371,0.15232235625,0.082324048,0.18416916,0.5863771,122.850032,3.979
"tango",19.871,182868.044,0.537862,0.372828,4.925,-10.062361,0.0798359,0.846208935,0.13971501043,0.2303476,0.5835295,114.55432,3.814
"techno",39.042,312311.477,0.684348,0.746413,5.515,-8.077874,0.0642115,0.08141377308,0.5400382181,0.1594341,0.3218783,128.255482,3.967
"trance",37.635,269007.478,0.583409,0.845272,5.712,-6.329711,0.0797055,0.0358702953,0.42350094276,0.2343574,0.2768808,133.276726,3.957
"trip-hop",34.46,274954.026,0.634695,0.622363,5.458,-9.239915,0.0763031,0.22561481075,0.38376133848,0.1903421,0.4780688,118.743616,3.945
"turkish",40.698,219529.01,0.616077,0.6098036,5.46,-8.224722,0.1050867,0.3211246845,0.0356028508,0.1807503,0.4623137,120.367607,3.924
"world-music",41.873,297195.622,0.414572,0.5329867403,5.333,-9.417547,0.041768,0.29954666447,0.09182382283,0.2503926,0.25029526,121.393711,3.849
